类别,品名,规格,价格范围,平均价,涨跌,单位,日期
废旧锂电池,三元铝壳（523型）,未破碎,45300 ~ 46800,46050.0,0.0,元/吨,2026-07-02
废旧锂电池,废旧磷酸铁锂铝壳电池,废旧磷酸铁锂铝壳电池,16700 ~ 18000,17350.0,0.0,元/吨,2026-07-02
废旧锂电池,小三元铝壳,未破碎,28600 ~ 29800,29200.0,0.0,元/吨,2026-07-02
废旧锂电池,废旧磷酸铁锂铝壳电池包,未破碎,18900 ~ 20000,19450.0,0.0,元/吨,2026-07-02
废旧锂电池,三元铝壳（5系）电池包,未破碎,46000 ~ 48100,47050.0,0.0,元/吨,2026-07-02
废旧锂电池,三元铝壳（6系）电池包,未破碎,46800 ~ 48400,47600.0,0.0,元/吨,2026-07-02
废旧锂电池,三元铝壳（8系）电池包,未破碎,44700 ~ 46000,45350.0,0.0,元/吨,2026-07-02
废旧锂电池,废旧磷酸铁锂动力正极片,动力型，3.8%<Li<4.2%,25850 ~ 30550,28200.0,775.0,元/吨,2026-07-02
废旧锂电池,废旧磷酸铁锂储能正极片,储能型，3.2%<Li<3.5%,21550 ~ 25200,23375.0,500.0,元/吨,2026-07-02
废旧锂电池,SMM磷酸铁锂极片粉指数,锂 3.2%-4.2%,7004 ~ 7004,7004.0,165.0,元/锂点,2026-07-02
废旧锂电池,磷酸铁锂极片粉锂系数,3.2%<Li<4.2%,83 ~ 86,84.5,0.5,%,2026-07-02
废旧锂电池,磷酸铁锂极片粉锂点,3.2%<Li<4.2%,6800 ~ 7200,7000.0,150.0,元/锂点,2026-07-02
废旧锂电池,三元523极片粉,523,99100 ~ 101700,100400.0,575.0,元/吨,2026-07-02
废旧锂电池,磷酸铁锂极片粉,3.2%<Li<4.2%,21750 ~ 30250,26000.0,575.0,元/吨,2026-07-02
