类别,品名,规格,价格范围,平均价,涨跌,单位,日期
废旧锂电池,纯钴正极片,未破碎,210000 ~ 236600,223300.0,800.0,元/吨,2026-06-12
废旧锂电池,SMM三元极片粉镍系数指数,镍 18%-40%,79.05 ~ 79.05,79.05,0.0,%,2026-06-16
废旧锂电池,SMM三元极片粉锂系数指数,锂 5.5%-6.5%,79 ~ 79,79.0,0.0,%,2026-06-16
废旧锂电池,SMM三元极片粉钴系数指数,钴 5%-18%,79.05 ~ 79.05,79.05,0.0,%,2026-06-16
废旧锂电池,SMM三元电池粉镍系数指数,镍 9%-20%,75.83 ~ 75.83,75.83,0.0,%,2026-06-16
废旧锂电池,SMM三元电池粉锂系数指数,锂 3%-3.5%,75.72 ~ 75.72,75.72,0.0,%,2026-06-16
废旧锂电池,SMM三元电池粉钴系数指数,钴 5%-10%,75.83 ~ 75.83,75.83,0.0,%,2026-06-16
废旧锂电池,SMM钴酸锂极片粉钴系数指数,钴 50%-55%,82.53 ~ 82.53,82.53,0.0,%,2026-06-16
废旧锂电池,SMM钴酸锂极片粉锂系数指数,锂 5.5%-6.5%,76.5 ~ 76.5,76.5,0.0,%,2026-06-16
废旧锂电池,SMM钴酸锂电池粉钴系数指数,钴 25%-30%,80.13 ~ 80.13,80.13,0.0,%,2026-06-16
废旧锂电池,SMM钴酸锂电池粉锂系数指数,锂 3%-3.5%,76.11 ~ 76.11,76.11,0.0,%,2026-06-16
废旧锂电池,SMM磷酸铁锂极片粉指数,锂 3.2%-4.2%,7489 ~ 7489,7489.0,-5.0,元/锂点,2026-06-16
废旧锂电池,SMM磷酸铁锂电池粉指数,锂 3%-3.5%,7062 ~ 7062,7062.0,0.0,元/锂点,2026-06-16
废旧锂电池,三元极片粉镍系数,18%<Ni<40%,78 ~ 80,79.0,0.0,%,2026-06-16
废旧锂电池,三元极片粉钴系数,5%<Co<18%,78 ~ 80,79.0,0.0,%,2026-06-16
废旧锂电池,三元极片粉锂系数,5.5%<Li<6.5%,77 ~ 80,78.5,0.0,%,2026-06-16
废旧锂电池,三元极片粉镍系数（FOB韩国）,镍 18%-40%,121 ~ 125,123.0,0.5,%,2026-06-12
废旧锂电池,三元极片粉钴系数（FOB韩国）,钴 5%-18%,121 ~ 125,123.0,0.5,%,2026-06-12
废旧锂电池,三元极片粉镍系数 (FOB马来西亚),镍18%-40%,66 ~ 70,68.0,0.0,%,2026-06-12
废旧锂电池,三元极片粉钴系数 (FOB马来西亚),钴5%-18%,66 ~ 70,68.0,0.0,%,2026-06-12
废旧锂电池,三元极片粉锂系数 (FOB马来西亚),锂5.5%-6.5%,66 ~ 70,68.0,0.0,%,2026-06-12
废旧锂电池,三元电池粉镍系数(FOB马来西亚),镍 9%-20%,56 ~ 59,57.5,0.0,%,2026-06-12
废旧锂电池,三元电池粉钴系数(FOB马来西亚),钴 5%-10%,56 ~ 59,57.5,0.0,%,2026-06-12
废旧锂电池,三元电池粉锂系数(FOB马来西亚),锂 3%-3.5%,56 ~ 59,57.5,0.0,%,2026-06-12
废旧锂电池,三元电池粉钴系数（FOB韩国）,钴 5%-10%,100 ~ 105,102.5,1.0,%,2026-06-12
废旧锂电池,三元电池粉镍系数（FOB韩国）,镍 9%-20%,100 ~ 105,102.5,1.0,%,2026-06-12
废旧锂电池,三元极片粉高镍系数,40%<Ni<50%,79 ~ 82,80.5,0.0,%,2026-06-16
废旧锂电池,三元极片粉高钴系数,钴 20%-35%,78 ~ 81,79.5,0.0,%,2026-06-16
废旧锂电池,三元极片粉高镍钴系数,2%<Co<5%,78 ~ 80,79.0,0.0,%,2026-06-16
废旧锂电池,三元极片粉高镍锂系数,5.5%<Li<6.5%,77 ~ 80,78.5,0.0,%,2026-06-16
废旧锂电池,三元电池粉镍系数,9%<Ni<20%,74 ~ 76,75.0,0.0,%,2026-06-16
废旧锂电池,三元电池粉钴系数,5%<Co<10%,74 ~ 76,75.0,0.0,%,2026-06-16
废旧锂电池,三元电池粉锂系数,3%<Li<3.5%,74 ~ 76,75.0,0.0,%,2026-06-16
废旧锂电池,钴酸锂极片粉钴系数,50%<Co<55%,81 ~ 83,82.0,0.0,%,2026-06-16
废旧锂电池,钴酸锂极片粉锂系数,5.5%<Li<6.5%,75 ~ 78,76.5,0.0,%,2026-06-16
废旧锂电池,钴酸锂电池粉钴系数,25%<Co<30%,78 ~ 81,79.5,0.0,%,2026-06-16
废旧锂电池,钴酸锂电池粉锂系数,3%<Li<3.5%,75 ~ 78,76.5,0.0,%,2026-06-16
废旧锂电池,磷酸铁锂极片粉锂系数,3.2%<Li<4.2%,83 ~ 86,84.5,-1.5,%,2026-06-16
废旧锂电池,磷酸铁锂电池粉锂系数,2.0%<Li<2.8%,77 ~ 81,79.0,-1.0,%,2026-06-16
废旧锂电池,镍钴渣粉镍系数,"25%<Ni<35%,30%<水分含量<50%",77 ~ 80,78.5,0.0,%,2026-06-12
废旧锂电池,镍钴渣粉钴系数,"3%<Co<5%,30%<水分含量<50%",77 ~ 80,78.5,0.0,%,2026-06-12
废旧锂电池,磷酸铁锂极片粉锂点,3.2%<Li<4.2%,7300 ~ 7700,7500.0,-50.0,元/锂点,2026-06-16
废旧锂电池,磷酸铁锂电池粉锂点,2.0%<Li<2.8%,6900 ~ 7100,7000.0,-25.0,元/锂点,2026-06-16
废旧锂电池,三元111极片粉,111,120550 ~ 124150,122350.0,-725.0,元/吨,2026-06-16
废旧锂电池,三元523极片粉,523,104500 ~ 107350,105925.0,-550.0,元/吨,2026-06-16
废旧锂电池,三元622极片粉,622,111650 ~ 114700,113175.0,-550.0,元/吨,2026-06-16
废旧锂电池,三元811极片粉,811,105700 ~ 108350,107025.0,-500.0,元/吨,2026-06-16
废旧锂电池,三元电池粉,3%<Li<3.5%,49100 ~ 63800,56450.0,-300.0,元/吨,2026-06-16
废旧锂电池,钴酸锂电池粉,25%<Co<30%,104200 ~ 129200,116700.0,-725.0,元/吨,2026-06-16
废旧锂电池,钴酸锂极片粉,50%<Co<55%,211550 ~ 242150,226850.0,-1450.0,元/吨,2026-06-16
废旧锂电池,磷酸铁锂极片粉,3.2%<Li<4.2%,23350 ~ 32350,27850.0,-175.0,元/吨,2026-06-16
废旧锂电池,磷酸铁锂电池粉,2.0%<Li<2.8%,13800 ~ 19900,16850.0,-50.0,元/吨,2026-06-16
废旧锂电池,镍钴渣,"""25%<Ni<35%,3%<Co<5%,30%<水分含量<50%",39250 ~ 55150,47200.0,-650.0,元/吨,2026-06-12
废旧锂电池,三元方壳锂电B品,150Ah以上,0.75 ~ 0.85,0.8,0.0,元/Ah,2026-06-16
废旧锂电池,三元方壳锂电B品,20-30Ah,1.14 ~ 1.45,1.295,0.0,元/Ah,2026-06-12
废旧锂电池,三元方壳锂电B品,50-60Ah,1.2 ~ 1.48,1.34,0.0,元/Ah,2026-06-12
废旧锂电池,方形磷酸铁锂电池B品,280Ah,0.68 ~ 0.8,0.74,0.0,元/Ah,2026-06-12
废旧锂电池,33140圆柱锂电池,15Ah,0.7 ~ 0.77,0.735,0.0,元/Ah,2026-06-16
废旧锂电池,18650圆柱锂电池B品1300mah,1300mah,0.45 ~ 0.55,0.5,0.0,元/Ah,2026-06-16
废旧锂电池,18650圆柱锂电池B品1500-1800mah,1500-1800mah,0.42 ~ 0.49,0.455,0.0,元/Ah,2026-06-16
废旧锂电池,18650圆柱锂电池B品2000-2500mah,2000-2500mah,0.52 ~ 0.62,0.57,0.0,元/Ah,2026-06-16
废旧锂电池,18650圆柱锂电池B品2500-3000mah,2500-3000mah,0.7 ~ 0.79,0.745,0.0,元/Ah,2026-06-16
废旧锂电池,杂电,-,42000 ~ 62000,52000.0,500.0,元/吨,2026-01-09
废旧锂电池,品电,-,74000 ~ 78000,76000.0,500.0,元/吨,2026-01-09
废旧锂电池,聚合物,-,94000 ~ 99000,96500.0,2000.0,元/吨,2026-01-09
废旧锂电池,苹果条,-,103000 ~ 108000,105500.0,2000.0,元/吨,2026-01-09
废旧锂电池,磷酸铁锂电池_方壳,方壳,12300 ~ 13300,12800.0,0.0,元/吨,2026-01-09
废旧锂电池,磷酸铁锂电池_软包,软包,11600 ~ 12600,12100.0,0.0,元/吨,2026-01-09
废旧锂电池,磷酸铁锂电池_圆柱,圆柱,9900 ~ 10900,10400.0,0.0,元/吨,2026-01-09
废旧锂电池,三元材料电池_方壳,方壳,35100 ~ 37600,36350.0,0.0,元/吨,2026-01-09
废旧锂电池,三元材料电池_圆柱,圆柱,29000 ~ 31500,30250.0,0.0,元/吨,2026-01-09
废旧锂电池,三元材料电池_软包,-,36400 ~ 38900,37650.0,0.0,元/吨,2026-01-09
